name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Abraham Lincoln,Hodgenville,UNITED STATES,1809,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,66145211,586914.722,41477236,504925.2748,,
Aristotle,Stageira,Greece,-384,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,56355172,201067.4607,15745351,370757.7105,,
Ayn Rand,Saint Petersburg,Russia,1905,Female,WRITER,LANGUAGE,HUMANITIES,14208218,87632.4902,11023490,258331.2364,,
Andre Agassi,Las Vegas,UNITED STATES,1970,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,11244030,85553.3181,6353888,162956.9565,,
Aldous Huxley,Godalming,UNITED KINGDOM,1894,Male,WRITER,LANGUAGE,HUMANITIES,9268920,33037.03209,5137256,149498.7097,,
Andrei Tarkovsky,Zavrazhye,Russia,1932,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,4004103,14987.96969,1808634,78511.82353,,
Arthur Schopenhauer,Gdańsk,POLAND,1788,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,11622780,61718.81469,2743101,147123.7975,,
Albert Einstein,Ulm,Germany,1879,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,89771090,342755.955,34276454,540789.6988,,
Alexander the Great,Pella,Greece,-356,Male,MILITARY PERSONNEL,MILITARY,INSTITUTIONS,48358148,153675.9172,19942587,350421.3623,,
Alfred Hitchcock,Leytonstone,UNITED KINGDOM,1899,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,23216701,164426.3051,10496279,232167.01,,
Attila the Hun,Hajdúböszörmény,Hungary,406,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,11123103,59842.86906,2971786,134013.2892,,
Alfred Nobel,Stockholm,SWEDEN,1833,Male,CHEMIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11998627,79776.41048,4360758,110079.1468,,
Alexander Graham Bell,Edinburgh,UNITED KINGDOM,1847,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,18989520,157392.1342,9443685,202016.1702,,
Andy Warhol,Pittsburgh,UNITED STATES,1928,Male,ARTIST,FINE ARTS,ARTS,34354584,113050.3572,17306096,343545.84,,
Alp Arslan,Other,Unknown,1029,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1142695,4561.959976,264784,29299.87179,,
Akira Kurosawa,Tokyo,JAPAN,1910,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,9833860,91964.93387,3746139,96410.39216,,
Anna Kournikova,Moscow,Russia,1910,Female,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,8817761,52365.86755,5859294,157460.0179,,
Andrey Markov,Ryazan,Russia,1856,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,480789,1474.179927,319858,13355.25,,
A. A. Milne,Hampstead,UNITED KINGDOM,1882,Male,WRITER,LANGUAGE,HUMANITIES,2228190,8720.890426,1556213,67520.90909,,
Melvil Dewey,Adams Center,United States,1851,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,680309,2249.570471,442686,23458.93103,,
Albert Speer,Mannheim,GERMANY,1905,Male,ARCHITECT,DESIGN,ARTS,7724852,22472.3941,3782972,148554.8462,,
Ada Lovelace,London,UNITED KINGDOM,1815,Female,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,13222419,967214.7879,6187390,216760.9672,,
Albert Camus,Dréan,ALGERIA,1913,Male,WRITER,LANGUAGE,HUMANITIES,18091886,225236.2088,5388929,190440.9053,,
Agatha Christie,Torquay,UNITED KINGDOM,1890,Female,WRITER,LANGUAGE,HUMANITIES,19500789,222207.9739,6663457,214294.3846,,
Aaron,Other,Egypt,-1400,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,2819250,9444.91564,1587626,47783.89831,,
Allen Ginsberg,Newark,UNITED STATES,1926,Male,WRITER,LANGUAGE,HUMANITIES,7134493,21004.54719,4788007,137201.7885,,
Anatoly Karpov,Zlatoust,Russia,1951,Male,CHESSMASTER,INDIVIDUAL SPORTS,SPORTS,1749016,8687.220016,769221,31800.29091,,
Aristophanes,Athens,Greece,-446,Male,WRITER,LANGUAGE,HUMANITIES,4704294,14756.36958,1617766,69180.79412,,
Albert Schweitzer,Kaysersberg,France,1875,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY,5818033,18818.22213,1870665,93839.24194,,
Alexis Carrel,Sainte-Foy-lès-Lyon,France,1873,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY,857702,3588.415423,285436,19946.55814,,
Anatole France,Paris,FRANCE,1844,Male,WRITER,LANGUAGE,HUMANITIES,2192222,6695.338606,609961,31317.45714,,
André Gide,Paris,FRANCE,1869,Male,WRITER,LANGUAGE,HUMANITIES,3180011,8646.948642,807373,48181.98485,,
Avicenna,Bukhara,UZBEKISTAN,980,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,10026549,56379.94959,2408563,98299.5,,
Augustin-Jean Fresnel,Broglie,France,1788,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,657036,1619.632254,187765,16025.26829,,
Anaximander,Miletus,Turkey,-610,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,4275744,23454.07891,749220,61082.05714,,
Aleister Crowley,Royal Leamington Spa,UNITED KINGDOM,1875,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,15560425,34638.08843,8645906,331072.8723,,
Alan Turing,Maida Vale,UNITED KINGDOM,1912,Male,COMPUTER SCIENTIST,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,17997811,928280.0478,8685854,166646.3981,,
Alexander Mackenzie,Logierait,UNITED KINGDOM,1822,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,448234,1885.252053,416369,17239.76923,,
Ashoka,Patna,India,-304,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,5148177,44474.35924,3393087,57844.68539,,
Alfonso Cuarón,Mexico City,MEXICO,1961,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,2597077,41903.96011,1495260,89554.37931,,
Antoninus Pius,Lanuvium,ITALY,86,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2326411,8572.582366,819088,36927.15873,,
Augustus,Rome,ITALY,-63,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,20307663,62055.84857,8544515,173569.7692,,
André-Marie Ampère,Lyon,FRANCE,1775,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,3458682,14485.57921,728754,45508.97368,,
Ambrose,Trier,GERMANY,337,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,2483720,13544.76083,891069,45158.54545,,
Ahab,Samaria,Israel,-900,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1036200,3850.785544,617518,31400,,
Alcuin,York,UNITED KINGDOM,735,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,925046,3052.117818,351591,23719.12821,,
Antonio Vivaldi,Venice,ITALY,1678,Male,COMPOSER,MUSIC,ARTS,15870117,182505.7612,4300266,154078.8058,,
Abraham,Other,Unknown,-1800,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,17824676,76364.02514,7111066,169758.819,,
Absalom,Jerusalem,Palestine,-3500,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,1544050,7839.201352,847696,44115.71429,,
Alfred Russel Wallace,Llanbadoc,UNITED KINGDOM,1823,Male,BIOLOGIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,3184505,14836.59713,1526737,60085,,
Albert I,28,,Europe,1490,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,14.23594727,583.5857349,108133,23.04134854,
Ahmed I,Manisa,Turkey,1590,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1194784,13375.04568,233024,24891.33333,,
Ahmed II,Istanbul,Turkey,1643,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,618226,5702.141588,115192,14719.66667,,
Ahmed III,Constanta,Bulgaria,1673,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,917948,8512.533112,201641,20398.84444,,
Agesilaus II,Sparta,Greece,-444,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,336422,1020.193445,121793,11214.06667,,
Agrippina the Younger,Cologne,GERMANY,15,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,1768082,5989.429498,745969,52002.41176,,
Ahmed Shah Abdali,Herat,AFGHANISTAN,1722,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,689302,4146.850828,458569,18629.78378,,
Alaric I,Peuce Island,Romania,370,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1811757,6385.239695,758635,34841.48077,,
Alaric II,Tulcea,Romania,450,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,382896,1905.937623,100227,10636,,
Albertus Magnus,Lauingen,GERMANY,1193,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,2278838,9596.248431,689575,39979.61404,,
Alboin,Pannonia,HUNGARY,530s,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,453150,3969.585553,151681,14617.74194,,
Afonso de Albuquerque,Vila Franca de Xira,Portugal,1453,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,858672,4210.306735,393153,24533.48571,,
Alcaeus,Mytilene,GREECE,-620,Male,WRITER,LANGUAGE,HUMANITIES,512525,2200.196403,97283,13852.02703,,
Alexander Balas,Izmir,Turkey,-200,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,161803,513.8710656,63125,5992.703704,,
Alexander II of Russia,Moscow,Russia,1818,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,6759130,29783.83982,2343104,109018.2258,,
Alexander III of Russia,Saint Petersburg,Russia,1845,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,5159144,21659.38225,1834666,83212,,
Alexander I of Scotland,Dunfermline,UNITED KINGDOM,1078,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,252063,666.2129902,168404,9335.666667,,
Alexander II of Scotland,Haddington,United Kingdom,1198,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,324783,912.279394,241449,10149.46875,,
Alexander I of Serbia,Belgrade,SERBIA,1876,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,510669,4440.087188,149042,18238.17857,,
Alexander III of Scotland,Roxburgh,United Kingdom,1241,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,504658,1347.142854,392969,16821.93333,,
Alexander Severus,Akkar,Lebanon,208,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1433285,7258.893645,498534,28665.7,,
Alexios I Komnenos,Istanbul,Turkey,1048,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1017450,4614.458427,429531,19566.34615,,
Alexios II Komnenos,Istanbul,Turkey,1169,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,287151,1003.103143,103899,9262.935484,,
Alexios III Angelos,Istanbul,Turkey,1153,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,306715,1317.951381,99380,9021.029412,,
Alexios V,Other,Unknown,1150,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,274989,1658.195852,85022,8870.612903,,
Andrew Jackson,Waxhaw,United States,1767,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,13329459,59632.63565,10971710,143327.5161,,
Andrew Johnson,Raleigh,UNITED STATES,1808,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,7294751,32324.81951,5643638,85820.6,,
Aleksandr Solzhenitsyn,Kislovodsk,Russia,1918,Male,WRITER,LANGUAGE,HUMANITIES,4535988,47626.38088,1957974,49846.02198,,
Alfred the Great,Oxfordshire,United Kingdom,849,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,4131426,13590.56018,2683029,70024.16949,,
Ibn al-Haitham,Basra,Iraq,965,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,3158260,57838.7227,763193,59589.81132,,
Alyattes II,Other,Unknown,-619,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,107100,535.613952,10735,4119.230769,,
Amalasuntha,Tuscany,Italy,495,Female,COMPANION,COMPANIONS,PUBLIC FIGURE,315628,1170.809219,70599,10520.93333,,
Afonso I of Portugal,Guimarães,PORTUGAL,1109,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1408965,4720.096019,325248,31310.33333,,
Afonso II of Portugal,Coimbra,PORTUGAL,1185,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,348067,1024.224327,83971,12430.96429,,
Afonso III of Portugal,Coimbra,PORTUGAL,1210,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,456320,1693.006278,134122,15735.17241,,
Afonso IV of Portugal,Lisbon,PORTUGAL,1291,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,357633,1122.006894,96247,11536.54839,,
Afonso V of Portugal,Sintra,Portugal,1432,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,564244,3306.702903,156316,21701.69231,,
Alfonso XII of Spain,Madrid,SPAIN,1857,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1708239,7680.005563,375783,39726.48837,,
Alfonso XIII of Spain,Madrid,Spain,1886,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,3183026,17226.16305,928847,60057.09434,,
Alfonso V of Aragon,Medina del Campo,SPAIN,1396,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,625190,2425.699702,169732,22328.21429,,
Ambiorix,Other,Belgium,-100,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,329916,1138.764072,129935,12219.11111,,
Abu Bakr,Mecca,SAUDI ARABIA,573,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,3940269,26282.19596,1809792,50516.26923,,
Ananda,Other,Unknown,-573,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,1048921,4328.887165,322143,30850.61765,,
Anaxagoras,Clazomenae,Turkey,-500,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,2528167,10783.11738,504044,40776.8871,,
Anaximenes of Miletus,Miletus,Turkey,-585,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,2846623,18297.70149,264257,45913.27419,,
Ancus Marcius,Rome,Italy,-700,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,603418,2028.27929,139936,17747.58824,,
Andrew II of Hungary,Esztergom,Hungary,1177,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,527331,2709.111296,166176,17577.7,,
Andronikos III Palaiologos,Istanbul,Turkey,1297,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,307708,1210.967132,106496,8791.657143,,
Andronikos II Palaiologos,İznik,Turkey,1259,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,368407,1526.655381,128362,9956.945946,,
Andronikos I Komnenos,Istanbul,Turkey,1118,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,467629,1819.333239,167852,11690.725,,
Ammianus Marcellinus,Antioch,Turkey,320,Male,WRITER,LANGUAGE,HUMANITIES,677989,1970.633711,218935,14124.77083,,
Apuleius,Madaurus,Algeria,120,Male,WRITER,LANGUAGE,HUMANITIES,1349270,5294.307258,327467,28109.79167,,
Alexander Selkirk,Lower Largo,UNITED KINGDOM,1676,Male,PIRATE,OUTLAWS,PUBLIC FIGURE,1581069,11867.95709,732065,51002.22581,,
Arnold Schwarzenegger,Thal,AUSTRIA,1947,Male,ACTOR,FILM AND THEATRE,ARTS,54504491,262881.5121,29269804,626488.4023,,
Adam Smith,Kirkcaldy,UNITED KINGDOM,1723,Male,ECONOMIST,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,20395667,63839.10625,7303414,183744.7477,,
Antoine Lavoisier,Paris,FRANCE,1743,Male,CHEMIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,9451201,56685.05004,2470690,126016.0133,,
Amitabh Bachchan,Allahabad,India,1942,Male,ACTOR,FILM AND THEATRE,ARTS,13399037,85497.0565,11566503,239268.5179,,
Agathocles of Syracuse,Sicily,Italy,-361,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,251592,1871.574968,38211,9676.615385,,
Augustin Louis Cauchy,Paris,FRANCE,1789,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,1297263,5648.658144,325241,25945.26,,
Archimedes,Syracuse,Italy,-287,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,22022077,71916.70106,7288783,170713.7752,,
Alfred Jarry,Laval,France,1873,Male,WRITER,LANGUAGE,HUMANITIES,1234631,3498.249233,337003,38582.21875,,
Anthemius of Tralles,Aydın,TURKEY,474,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,223382,932.9609372,103040,7977.928571,,
Alessandro Volta,Como,ITALY,1745,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,6799961,27989.76593,1864395,93150.15068,,
Alexander Fleming,Lochfield,United Kingdom,1881,Male,BIOLOGIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,9383477,38987.15672,3800763,115845.3951,,
Andrew Carnegie,Dunfermline,United Kingdom,1835,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,8363897,58780.81025,6501990,167277.94,,
Abel Tasman,Lutjegast,NETHERLANDS,1603,Male,EXPLORER,EXPLORERS,EXPLORATION,1821062,7152.612328,884118,26015.17143,,
Alvar Aalto,Kuortane,FINLAND,1898,Male,ARCHITECT,DESIGN,ARTS,3289004,8518.157726,1069021,53048.45161,,
A.J. Ayer,United Kingdom,United Kingdom,1910,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,533774,3338.229442,281757,16680.4375,,
Atle Selberg,Langesund,NORWAY,1917,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,235100,666.7620603,91495,7836.666667,,
Aeschylus,Eleusina,Greece,-525,Male,WRITER,LANGUAGE,HUMANITIES,6231138,21372.47386,1894433,84204.56757,,
Andrew Wiles,Cambridge,United Kingdom,1953,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,2304054,16962.82902,1003230,54858.42857,,
Anne Brontë,Thornton,United Kingdom,1820,Female,WRITER,LANGUAGE,HUMANITIES,1441313,4859.057234,833610,28826.26,,
Augustine of Hippo,Souk Ahras,Algeria,354,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,17433781,64481.7395,5677399,166036.0095,,
Alexander Grothendieck,Berlin,Germany,1928,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,955278,4074.768691,505230,34117.07143,,
Amerigo Vespucci,Florence,ITALY,1454,Male,EXPLORER,EXPLORERS,EXPLORATION,8051998,37402.06319,3157206,121999.9697,,
Aristide Maillol,Banyuls-sur-Mer,France,1861,Male,PAINTER,FINE ARTS,ARTS,530968,2087.066029,149466,18309.24138,,
Antonio Canova,Possagno,Italy,1757,Male,ARTIST,FINE ARTS,ARTS,2515904,9172.230214,487811,59902.47619,,
Auguste Rodin,Paris,FRANCE,1840,Male,SCULPTOR,FINE ARTS,ARTS,10533605,413791.6988,3542205,152660.942,,
Adam Weishaupt,Ingolstadt,Germany,1748,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,2272970,13052.30672,1186562,81177.5,,
Adalbert of Prague,Libice nad Cidlinou,CZECH REPUBLIC,956,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,1637769,9166.329036,142254,52831.25806,,
Joseph Henry,Albany,UNITED STATES,1797,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,934897,6445.356989,372921,24602.55263,,
Anton Drexler,Munich,Germany,1884,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,905533,4028.023277,390969,34828.19231,,
Ahmed Shah Massoud,Panjshīr Province,Afghanistan,1953,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2830739,16949.15846,1279147,65831.13953,,
Arcadius,Spain,Spain,370,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,809035,2483.875442,263973,14982.12963,,
Aage Niels Bohr,Copenhagen,DENMARK,1922,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,775178,12288.12973,230506,15819.95918,,
Antipope John XXIII,Naples,Italy,1370,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,667716,9398.469649,407833,22257.2,,
Antonio Salieri,Legnago,ITALY,1750,Male,COMPOSER,MUSIC,ARTS,4543173,16764.55698,1764172,87368.71154,,
Arthur Stanley Eddington,Kendal,UNITED KINGDOM,1882,Male,ASTRONOMER,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,851771,5153.757369,336295,23660.30556,,
Paul Krugman,Albany,UNITED STATES,1953,Male,ECONOMIST,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,5323427,52364.67604,3356728,98581.98148,,
Antipope Felix II,Other,Unknown,300,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,144060,1367.103863,47616,5335.555556,,
Alessandro Scarlatti,Palermo,ITALY,1660,Male,COMPOSER,MUSIC,ARTS,1050028,2949.012764,374011,24419.25581,,
Alois Alzheimer,Marktbreit,GERMANY,1864,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY,1144068,4326.397802,353900,25423.73333,,
Akio Morita,Nagoya,JAPAN,1921,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,1489192,4942.060567,524323,57276.61538,,
Anthony Hopkins,Margam,United Kingdom,1937,Male,ACTOR,FILM AND THEATRE,ARTS,16055086,81156.39756,7363827,247001.3231,,
Albrecht Dürer,Nuremberg,Germany,1471,Male,PAINTER,FINE ARTS,ARTS,10212700,34890.89518,3257982,91184.82143,,
Alban Berg,Vienna,AUSTRIA,1885,Male,COMPOSER,MUSIC,ARTS,1720409,4177.215376,585527,40962.11905,,
Aurangzeb,Dahod,INDIA,1618,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,3388736,35650.788,2796259,75305.24444,,
Alberto Giacometti,Borgonovo,SWITZERLAND,1901,Male,ARTIST,FINE ARTS,ARTS,3321962,20324.72999,1347811,92276.72222,,
Albrecht Altdorfer,Regensburg,GERMANY,1480,Male,PAINTER,FINE ARTS,ARTS,540264,1717.384906,157833,14217.47368,,
Anton Chekhov,Taganrog,Russia,1860,Male,WRITER,LANGUAGE,HUMANITIES,9327460,32547.46602,3578999,84795.09091,,
Arnulf of Carinthia,42,,Unknown,850,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,11.13876797,1549.349254,416257,25.8183102,
Alexander Kerensky,Ulyanovsk,Russia,1881,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2033402,8479.917991,936456,39870.62745,,
Ansgar,Amiens,FRANCE,801,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,332005,1356.753297,130463,11448.44828,,
Adam of Bremen,Missing,Germany,1050,Male,WRITER,LANGUAGE,HUMANITIES,407038,1005.524513,134707,12334.48485,,
André the Giant,Grenoble,FRANCE,1946,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,11093995,81350.97534,8094217,369799.8333,,
Abbas II of Egypt,Alexandria,Egypt,1874,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,447890,2203.031218,134418,15444.48276,,
Abd ar-Rahman I,Deir Hanna,ISRAEL,731,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,798207,5162.665757,99948,21573.16216,,
Abd-ar-Rahman III,Córdoba,Spain,912,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,821420,5462.29569,172580,24159.41176,,
Abdülâziz,Istanbul,TURKEY,1830,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1217735,8213.625393,195752,26472.5,,
‘Abdu’l-Hamid I,Istanbul,Turkey,1725,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,656000,5201.056262,97184,13666.66667,,
Abdur Rahman Khan,Kabul,Afghanistan,1844,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,372475,1372.625859,210539,14325.96154,,
Anders Celsius,Uppsala,SWEDEN,1701,Male,ASTRONOMER,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2446828,10331.41423,471878,38838.53968,,
Andrei Sakharov,Moscow,Russia,1921,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2119200,9059.205087,890110,33638.09524,,
Aron Nimzowitsch,Riga,LATVIA,1886,Male,WRITER,LANGUAGE,HUMANITIES,351468,915.4994539,153315,12119.58621,,
Aung San Suu Kyi,Yangon,,1945,Female,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE,11374261,135137.395,6031638,137039.2892,,
Archduke Charles,29,,Europe,1771,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,8.731625793,1323.262761,371591,23.72577346,
Augustine of Canterbury,Rome,ITALY,630,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,941144,4315.611071,574455,26142.88889,,
Amr Diab,Port Said,EGYPT,1961,Male,SINGER,MUSIC,ARTS,2626534,10953.59205,1140137,101020.5385,,
Anaïs Nin,Neuilly-sur-Seine,FRANCE,1903,Female,WRITER,LANGUAGE,HUMANITIES,4090109,14658.19092,2493715,123942.697,,
Ariel Sharon,Kfar Malal,Israel,1928,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,8642705,39833.75023,3975813,132964.6923,,
Alexey Pazhitnov,Moscow,Russia,1956,Male,COMPUTER SCIENTIST,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,829677,7336.276221,536387,28609.55172,,
`Abdu'l-Bahá,Tehran,Iran,1844,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,472029,2638.693424,305358,16858.17857,,
Akira Toriyama,Nagoya,JAPAN,1955,Male,COMIC ARTIST,DESIGN,ARTS,9256348,40566.1368,2456260,298591.871,,
Alec Baldwin,Long Island (ex Queens & Brooklyn),UNITED STATES,1958,Male,ACTOR,FILM AND THEATRE,ARTS,16566705,75919.61172,11408548,331334.1,,
Adolphe Sax,Dinant,BELGIUM,1814,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,1186271,3935.003743,475387,26960.70455,,
Kirk Douglas,Amsterdam,UNITED STATES,1916,Male,ACTOR,FILM AND THEATRE,ARTS,14446964,90177.6112,8296393,294836,,
Athanasius of Alexandria,Alexandria,Egypt,296,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,1506287,8023.03414,727349,31380.97917,,
Anthony the Great,Bani Sweif,Egypt,251,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,2816838,24705.36296,914360,56336.76,,
Bill Clinton,Hope,UNITED STATES,1946,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,31143787,134265.8097,21236010,263930.3983,,
Britney Spears,McComb,UNITED STATES,1981,Female,SINGER,MUSIC,ARTS,58474806,181731.4988,30872137,622072.4043,,
Gautama Buddha,Lumbini,Nepal,-563,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,23685332,96995.50597,12331379,191010.7419,,
Baruch Spinoza,Amsterdam,NETHERLANDS,1632,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,8686774,32562.67238,2969652,103413.9762,,
Bjarne Stroustrup,Aarhus,DENMARK,1950,Male,ENGINEER,ENGINEERING,SCIENCE & TECHNOLOGY,1398218,4894.052041,835232,35851.74359,,
Björn Ulvaeus,Gothenburg,SWEDEN,1945,Male,MUSICIAN,MUSIC,ARTS,3308810,14724.52344,1442852,97317.94118,,
Benny Andersson,Vällingby,SWEDEN,1946,Male,MUSICIAN,MUSIC,ARTS,3400235,14203.8428,1419944,100006.9118,,
