resolution_name,entity_name,y_pred,y_actual,predict_proba
HILLARYCLINTON,HILLARYCLINTON,1,1,0.7136363636363636
NANCYPELOSI,NANCYPELOSI,1,1,1.0
BARACKOBAMA,BARACKOBAMA,1,1,1.0
ROBERTMUELLER,ROBERTMUELLER,1,1,0.5892957042957042
MICHAELCOHEN,MICHAELCOHEN,1,1,0.5892957042957042
JOEBIDEN,JOEBIDEN,1,1,1.0
JAMESCOMEY,JAMESCOMEY,1,1,1.0
JOHNMCCAIN,JOHNMCCAIN,1,1,1.0
PAULMANAFORT,PAULMANAFORT,1,1,0.5892957042957042
BERNIESANDERS,BERNIESANDERS,1,1,0.5892957042957042
JEFFSESSIONS,JEFFSESSIONS,1,1,0.5892957042957042
ELIZABETHWARREN,ELIZABETHWARREN,1,1,0.85
BETOOROURKE,BETOOROURKE,1,1,1.0
ROBERTSMUELLERIII,ROBERTMUELLER,1,1,0.7
KIMJONGUN,KIMJUNGUN,1,1,0.7666666666666666
JAMESCOMEY,JAMESCOMEY,1,1,1.0
ROGERSTONE,ROGERSTONE,1,1,1.0
BERNIESANDERS,BERNIESANDERS,1,1,0.5892957042957042
CHRISWALLACE,CHRISWALLACE,1,1,0.5892957042957042
MITCHMCCONNELL,MITCHMCCONNELL,1,1,0.7136363636363636
LINDSEYGRAHAM,LINDSEYGRAHAM,1,1,0.5892957042957042
MIKEPOMPEO,MIKEPOMPEO,1,1,1.0
MIKEPOMPEO,MIKEPENCE,1,0,1.0
KIMJONGUN,KIMJUNGUN,1,1,0.7666666666666666
CORYBOOKER,CORYBOOKER,1,1,1.0
VLADIMIRPUTIN,VLADIMIRPUTIN,1,1,0.5892957042957042
DONALDTRUMPJR,DONALDTRUMPJR,1,1,0.5892957042957042
MICHAELFLYNN,MICHAELFLYNN,1,1,0.5892957042957042
BETOOROURKE,BETOOROURKE,1,1,1.0
MICHAELDCOHEN,MICHAELCOHEN,1,1,0.9666666666666666
MICHAELDCOHEN,MICHAELFLYNN,1,0,0.4666666666666666
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
JAMESBCOMEY,JAMESCOMEY,1,1,0.8666666666666666
PETEBUTTIGIEG,PETEBUTTIGIEG,1,1,0.5892957042957042
CHUCKSCHUMER,CHUCKSCHUMER,1,1,0.5892957042957042
RONALDREAGAN,RONALDREAGAN,1,1,0.5892957042957042
RUDYGIULIANI,RUDYGIULIANI,1,1,0.5892957042957042
RODROSENSTEIN,RODROSENSTEIN,1,1,0.5892957042957042
BRETTKAVANAUGH,BRETTKAVANAUGH,1,1,0.7136363636363636
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
RODJROSENSTEIN,RODROSENSTEIN,1,1,0.9666666666666666
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
WILLIAMPBARR,WILLIAMBARR,1,1,0.9666666666666666
RUDOLPHWGIULIANI,RUDYGIULIANI,1,1,0.7
JAREDKUSHNER,JAREDKUSHNER,1,1,0.5892957042957042
JOHNKASICH,JOHNKASICH,1,1,1.0
JOHNBOLTON,JOHNBOLTON,1,1,1.0
JULIANASSANGE,JULIANASSANGES,1,1,0.6803030303030303
HILLARYCLINTON,HILLARYCLINTON,1,1,0.7136363636363636
SARAHHUCKABEESANDERS,BERNIESANDERS,1,0,0.5
SARAHHUCKABEESANDERS,SARAHSANDERS,1,1,0.7
DONALDJTRUMP,DONALDTRUMP,1,1,0.9666666666666666
DONALDJTRUMP,DONALDTRUMPJR,1,0,1.0
JIMMATTIS,JAMESMATTIS,1,1,1.0
GEORGEBUSH,GEORGEBUSH,1,1,1.0
