resolution_name,entity_name,y_pred,y_actual,predict_proba
HILLARYCLINTON,HILLARYCLINTON,1,1,0.7136363636363636
NANCYPELOSI,NANCYPELOSI,1,1,1.0
BARACKOBAMA,BARACKOBAMA,1,1,1.0
JOEBIDEN,JOEBIDEN,1,1,1.0
JAMESCOMEY,JAMESCOMEY,1,1,1.0
JOHNMCCAIN,JOHNMCCAIN,1,1,1.0
ELIZABETHWARREN,ELIZABETHWARREN,1,1,0.85
BETOOROURKE,BETOOROURKE,1,1,1.0
ROBERTSMUELLERIII,ROBERTMUELLER,1,1,0.7
KIMJONGUN,KIMJUNGUN,1,1,0.7666666666666666
JAMESCOMEY,JAMESCOMEY,1,1,1.0
ROGERSTONE,ROGERSTONE,1,1,1.0
MITCHMCCONNELL,MITCHMCCONNELL,1,1,0.7136363636363636
MIKEPOMPEO,MIKEPOMPEO,1,1,1.0
MIKEPOMPEO,MIKEPENCE,1,0,1.0
KIMJONGUN,KIMJUNGUN,1,1,0.7666666666666666
CORYBOOKER,CORYBOOKER,1,1,1.0
BETOOROURKE,BETOOROURKE,1,1,1.0
MICHAELDCOHEN,MICHAELCOHEN,1,1,0.9666666666666666
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
JAMESBCOMEY,JAMESCOMEY,1,1,0.8666666666666666
BRETTKAVANAUGH,BRETTKAVANAUGH,1,1,0.7136363636363636
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
RODJROSENSTEIN,RODROSENSTEIN,1,1,0.9666666666666666
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
WILLIAMPBARR,WILLIAMBARR,1,1,0.9666666666666666
RUDOLPHWGIULIANI,RUDYGIULIANI,1,1,0.7
JOHNKASICH,JOHNKASICH,1,1,1.0
JOHNBOLTON,JOHNBOLTON,1,1,1.0
JULIANASSANGE,JULIANASSANGES,1,1,0.6803030303030303
HILLARYCLINTON,HILLARYCLINTON,1,1,0.7136363636363636
SARAHHUCKABEESANDERS,SARAHSANDERS,1,1,0.7
DONALDJTRUMP,DONALDTRUMP,1,1,0.9666666666666666
DONALDJTRUMP,DONALDTRUMPJR,1,0,1.0
JIMMATTIS,JAMESMATTIS,1,1,1.0
GEORGEBUSH,GEORGEBUSH,1,1,1.0
