resolution_name,entity_name,y_pred,y_actual,predict_proba
HILLARYCLINTON,HILLARYCLINTON,1,1,0.7136363636363636
NANCYPELOSI,NANCYPELOSI,1,1,1.0
BARACKOBAMA,BARACKOBAMA,1,1,1.0
ROBERTMUELLER,ROBERTMUELLER,1,1,0.5892957042957042
ROBERTMUELLER,JOHNROBERTS,1,0,0.2
MICHAELCOHEN,MICHAELCOHEN,1,1,0.5892957042957042
MICHAELCOHEN,RICHARDNIXON,1,0,0.1
MICHAELCOHEN,MIKEPENCE,1,0,0.1
MICHAELCOHEN,RICHARDNIXON,1,0,0.1
JOEBIDEN,JOEBIDEN,1,1,1.0
JAMESCOMEY,JAMESCOMEY,1,1,1.0
JAMESCOMEY,JAMESMATTIS,1,0,0.33999999999999997
JOHNMCCAIN,JOHNMCCAIN,1,1,1.0
JOHNMCCAIN,JOHNBOLTON,1,0,0.1
JOHNMCCAIN,JOHNROBERTS,1,0,0.1
JOHNMCCAIN,JOHNKELLY,1,0,0.1
PAULMANAFORT,PAULMANAFORT,1,1,0.5892957042957042
PAULMANAFORT,PAULRYAN,1,0,0.1
BERNIESANDERS,BERNIESANDERS,1,1,0.5892957042957042
BERNIESANDERS,SARAHSANDERS,1,0,0.26666666666666666
JEFFSESSIONS,JEFFSESSIONS,1,1,0.5892957042957042
ELIZABETHWARREN,ELIZABETHWARREN,1,1,0.85
BETOOROURKE,BETOOROURKE,1,1,1.0
ROBERTSMUELLERIII,ROBERTMUELLER,1,1,0.7
ROBERTSMUELLERIII,JOHNROBERTS,1,0,0.3
KIMJONGUN,KIMJUNGUN,1,1,0.7666666666666666
JAMESCOMEY,JAMESCOMEY,1,1,1.0
JAMESCOMEY,JAMESMATTIS,1,0,0.33999999999999997
ROGERSTONE,ROGERSTONE,1,1,1.0
BERNIESANDERS,BERNIESANDERS,1,1,0.5892957042957042
BERNIESANDERS,SARAHSANDERS,1,0,0.26666666666666666
CHRISWALLACE,CHRISWALLACE,1,1,0.5892957042957042
