resolution_name,entity_name,y_pred,y_actual,predict_proba
NANCYPELOSI,NANCYPELOSI,1,1,1.0
BARACKOBAMA,BARACKOBAMA,1,1,1.0
JOEBIDEN,JOEBIDEN,1,1,1.0
JAMESCOMEY,JAMESCOMEY,1,1,1.0
JOHNMCCAIN,JOHNMCCAIN,1,1,1.0
BETOOROURKE,BETOOROURKE,1,1,1.0
JAMESCOMEY,JAMESCOMEY,1,1,1.0
ROGERSTONE,ROGERSTONE,1,1,1.0
MIKEPOMPEO,MIKEPOMPEO,1,1,1.0
MIKEPOMPEO,MIKEPENCE,1,0,1.0
CORYBOOKER,CORYBOOKER,1,1,1.0
BETOOROURKE,BETOOROURKE,1,1,1.0
MICHAELDCOHEN,MICHAELCOHEN,1,1,0.9666666666666666
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
RODJROSENSTEIN,RODROSENSTEIN,1,1,0.9666666666666666
WILLIAMPBARR,WILLIAMBARR,1,1,0.9666666666666666
JOHNKASICH,JOHNKASICH,1,1,1.0
JOHNBOLTON,JOHNBOLTON,1,1,1.0
DONALDJTRUMP,DONALDTRUMP,1,1,0.9666666666666666
DONALDJTRUMP,DONALDTRUMPJR,1,0,1.0
JIMMATTIS,JAMESMATTIS,1,1,1.0
GEORGEBUSH,GEORGEBUSH,1,1,1.0
